outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr
case,Sep-21,202138,18-49,all_types,119,307241,52609,52473497,170089,34939594,38.73180988,100.2582313,486.8087477,12.56870642,4.855548929
case,Sep-21,202138,50-64,all_types,147,376834,28091,30068369,46391,9714056,39.00921891,93.42375704,477.5657048,12.2423806,5.111822944
case,Sep-21,202138,65+,all_types,280,878779,27243,29106029,24190,4820712.8,31.86239089,93.59916463,501.7930129,15.74875579,5.361084309
case,Sep-21,202138,all_ages,all_types,546,1562854,107943,111647895,240670,49474362.8,34.93608488,96.68162575,486.453966,13.92411221,5.031503786
case,Sep-21,202139,18-49,all_types,153,373796,49759,53423700,142930,34270943,40.93141714,93.14031039,417.0588478,10.18921105,4.477748099
case,Sep-21,202139,50-64,all_types,159,455661,26669,30300581,40212,9522246,34.89436226,88.01481397,422.2953282,12.10210765,4.798002849
case,Sep-21,202139,65+,all_types,312,1069305,25679,29037813,21558,4630749.800000001,29.17783046,88.43296842,465.5401594,15.95526988,5.264328086
case,Sep-21,202139,all_ages,all_types,624,1898762,102107,112762094,204700,48423938.8,32.86351844,90.55081932,422.7248032,12.86304155,4.668370826
case,Oct-21,202140,18-49,all_types,198,442130,47005,54290995,125308,33684533,44.78320856,86.57973574,372.0045636,8.306786754,4.296670121
case,Oct-21,202140,50-64,all_types,180,535682,25087,30502674,35913,9350144,33.60202508,82.2452484,384.0903413,11.43057123,4.670061174
case,Oct-21,202140,65+,all_types,368,1337729,24113,28882681,19468,4466268.800000001,27.50930869,83.48601711,435.889573,15.84516637,5.221108733
case,Oct-21,202140,all_ages,all_types,746,2315541,96205,113676350,180689,47500945.8,32.21709311,84.63062018,380.3903206,11.80709629,4.494712667
case,Oct-21,202141,18-49,all_types,216,701625,42657,54797007,106654,33166535,30.78567611,77.84549255,321.5711258,10.44547876,4.130889475
case,Oct-21,202141,50-64,all_types,193,782716,23040,30485292,31320,9194218,24.65773026,75.57742927,340.648873,13.81509447,4.507283144
case,Oct-21,202141,65+,all_types,487,2499495,21283,27847757,17678,4328796.800000001,19.48393576,76.42626298,408.3813775,20.95990167,5.343469137
case,Oct-21,202141,all_ages,all_types,896,3983836,86980,113130056,155652,46689549.8,22.49088567,76.8849615,333.3765279,14.82273899,4.336043374
case,Oct-21,202142,18-49,all_types,252,1069883,40708,55120485,97059,32697573,23.5539774,73.85276091,296.8385452,12.60248068,4.01932902
case,Oct-21,202142,50-64,all_types,269,1146408,22259,30328268,28115,9045243,23.4645955,73.3935746,310.8263648,13.24661082,4.235062353
case,Oct-21,202142,65+,all_types,675,3728867,19319,26735539,16029,4216317.5,18.10201329,72.25962417,380.1658675,21.00130308,5.261110501
case,Oct-21,202142,all_ages,all_types,1196,5945158,82286,112184292,141203,45959133.5,20.11721135,73.34894978,307.2359926,15.27229531,4.188689729
case,Oct-21,202143,18-49,all_types,440,1423252,43219,55360474,97195,32219370,30.91511552,78.06833446,301.6663578,9.75789198,3.864132109
case,Oct-21,202143,50-64,all_types,381,1524735,22827,30126357,28084,8858249,24.98794873,75.77086071,317.0378254,12.6876291,4.184165554
case,Oct-21,202143,65+,all_types,846,4728768,18863,25833845,15424,4039875.8,17.89049495,73.01661832,381.7939155,21.34060107,5.228863296
case,Oct-21,202143,all_ages,all_types,1667,7676755,84909,111320676,140703,45117494.8,21.71490428,76.27424038,311.8590707,14.36152178,4.088655215
case,Nov-21,202144,18-49,all_types,699,1796926,50707,55511547,99374,31737200,38.89976549,91.34495928,313.1152087,8.049282681,3.427832375
case,Nov-21,202144,50-64,all_types,484,1946845,23998,29860193,27928,8665592,24.86073622,80.36786634,322.2861173,12.96365942,4.010136538
case,Nov-21,202144,65+,all_types,1087,5690504,17960,24962729,14884,3884542.8,19.1019987,71.94726186,383.1596346,20.05861484,5.325562429
case,Nov-21,202144,all_ages,all_types,2270,9434275,92665,110334469,142186,44287334.8,24.06120237,83.98554037,321.0534132,13.34319908,3.822722481
case,Nov-21,202145,18-49,all_types,911,2484728,55574,55293043,107727,31284395,36.66397288,100.5081236,344.3473975,9.391982659,3.426065328
case,Nov-21,202145,50-64,all_types,739,2764675,27036,29193647,31107,8486192,26.73008582,92.60918994,366.5601721,13.71339302,3.958140357
case,Nov-21,202145,65+,all_types,1428,7724792,18534,23060036,16106,3760248.15,18.48593464,80.37281468,428.3227957,23.17019962,5.329199896
case,Nov-21,202145,all_ages,all_types,3078,12974195,101144,107546726,154940,43530835.15,23.72401525,94.04656354,355.9316045,15.00300859,3.784631688
case,Nov-21,202146,18-49,all_types,1369,3391469,60069,54826658,114262,30801507,40.3659889,109.5616662,370.9623688,9.189973514,3.385877395
case,Nov-21,202146,50-64,all_types,1097,3763879,29797,28341046,34508,8286050,29.14546403,105.1372628,416.4589883,14.28898123,3.961097877
case,Nov-21,202146,65+,all_types,1903,9784711,19183,21123748,18265,3643728,19.44870932,90.81248271,501.2723233,25.77406629,5.519861459
case,Nov-21,202146,all_ages,all_types,4369,16940059,109049,104291452,167035,42731285,25.79093733,104.5617813,390.8962719,15.1563422,3.738423991
case,Nov-21,202147,18-49,all_types,1655,4431350,54773,54179980,100906,30324088,37.34753518,101.0945371,332.7585647,8.909786501,3.291558319
case,Nov-21,202147,50-64,all_types,1240,4771677,26983,27462652,31475,8080329,25.98667093,98.25343889,389.5262185,14.98946208,3.964504683
case,Nov-21,202147,65+,all_types,2136,11464643,16871,19544297,17568,3569274,18.63119506,86.32185645,492.200935,26.41810863,5.701927128
case,Nov-21,202147,all_ages,all_types,5031,20667670,98627,101186929,149949,41973691,24.3423666,97.47009913,357.2452087,14.67586182,3.665177443
case,Dec-21,202148,18-49,all_types,2991,5671933,84591,53310997,156554,29849357,52.73334505,158.6745789,524.4803096,9.945894937,3.30538334
case,Dec-21,202148,50-64,all_types,2311,5955261,39387,26407845,45544,7877074.3,38.80602378,149.1488609,578.1842124,14.8993418,3.876558017
case,Dec-21,202148,65+,all_types,3738,13013666,22571,18090435,23565,3485645,28.72365097,124.7675913,676.05852,23.53665002,5.418542693
case,Dec-21,202148,all_ages,all_types,9040,24640860,146549,97809277,225663,41212076.3,36.68703122,149.8313907,547.5652291,14.92530769,3.654542792
case,Dec-21,202149,18-49,all_types,4018,7116867,77452,52195074,142523,29292283,56.45742712,148.3894821,486.5547694,8.618082583,3.278903346
